id,date,builtin,call,communication,entertainment,finance,game,office,other,screen,sms,social,travel,unknown,utilities,weather,mood
AS14.01,2014-03-20,0.0,0.1,0.33697,0.36089,0.0,0.0,0.0,0.3609,0.024,0.0,0.65233,0.0,0.70129,0.44881,0.0,0.0
AS14.01,2014-03-21,0.61648,0.6,0.70889,0.59457,0.54583,0.0,0.98897,0.78746,0.79763,0.0,0.97883,0.92325,0.0,0.92775,0.0,0.775
AS14.01,2014-03-22,0.26187,0.3,0.62652,0.06872,0.43057,0.0,0.0,0.66006,0.21448,0.25,0.53695,0.49348,0.0,0.6927,0.0,0.8
AS14.01,2014-03-23,0.39924,0.0,0.64534,0.07111,0.5278,0.0,0.0,0.61772,0.2456,0.0,0.67303,0.0,0.0,0.49846,1.0,0.85
AS14.01,2014-03-24,0.30323,1.0,0.84505,0.58776,0.49511,0.0,0.26646,0.60498,0.65321,0.0,0.91511,0.81789,0.0,0.75297,0.0,0.75
AS14.01,2014-03-25,0.34582,0.0,0.88109,0.0,0.5267,0.0,0.0,0.74556,0.96989,0.25,0.81665,0.0,1.0,0.78483,0.0,0.84375
AS14.01,2014-03-26,0.37566,0.0,0.83426,0.57214,0.55329,0.0,0.0,0.65912,0.72102,0.0,0.98232,0.0,0.0,0.51301,0.0,0.825
AS14.01,2014-03-27,0.38822,0.2,0.74361,0.49378,0.52404,0.0,1.0,0.58682,0.77119,0.25,0.68017,0.5249,0.0,0.75321,0.0,0.875
AS14.01,2014-03-28,0.90018,0.5,0.01652,0.59412,0.62636,0.93865,0.0,0.77899,0.15444,0.0,0.56612,0.95209,0.0,0.82858,0.0,0.8
AS14.01,2014-03-29,0.50086,0.4,0.41633,0.70092,0.0,0.0,0.0,0.738,0.3219,0.25,0.55077,0.53854,0.0,0.9282,0.0,1.0
AS14.01,2014-03-30,0.1237,0.0,0.15774,0.68805,0.0,0.0,0.0,0.61999,0.13472,0.0,0.35452,0.0,0.77072,0.53246,0.0,0.9375
AS14.01,2014-03-31,0.60228,0.6,0.65165,0.71816,0.5209,0.68042,0.0,0.80369,0.49504,0.0,0.74991,0.7062,0.62415,0.77644,0.0,0.925
AS14.01,2014-04-01,0.41733,0.1,0.69841,0.59962,0.87767,0.9399,0.87045,0.69008,0.75797,0.0,1.0,1.0,0.0,0.90667,0.0,0.75
AS14.01,2014-04-02,0.6508,0.4,0.74279,0.65838,0.76758,0.0,0.8665,0.90414,0.96414,0.0,0.92683,0.0,0.0,0.84643,0.0,0.8125
AS14.01,2014-04-03,0.54299,0.4,1.0,0.65001,0.60482,0.0,0.0,0.77115,0.96627,0.0,0.91098,0.40607,0.0,0.75619,0.0,0.8
AS14.01,2014-04-04,0.50151,0.2,0.66129,0.68943,0.0,0.0,0.0,0.74394,0.52177,0.25,0.83246,0.68635,0.0,0.70564,0.0,0.775
AS14.01,2014-04-05,1.0,0.0,0.28811,0.02475,0.0,0.0,0.0,0.63303,0.07645,0.0,0.50076,0.70951,0.0,0.69432,0.0,0.85
AS14.01,2014-04-06,0.7068,0.4,0.48968,0.22204,0.0,0.817,0.0,0.68762,0.27976,0.0,0.47763,0.0,0.0,0.55919,0.0,0.8125
AS14.01,2014-04-07,0.31962,0.1,0.7641,0.41456,0.53609,0.0,0.5557,0.73863,0.39697,0.0,0.76669,0.55701,0.0,0.77332,0.0,0.8125
AS14.01,2014-04-08,0.31034,0.1,0.85278,0.86866,0.41774,0.0,0.0,0.76819,0.65586,0.0,0.87826,0.0,0.0,0.52428,0.0,0.825
AS14.01,2014-04-09,0.45818,0.4,0.70306,0.57939,0.0,0.0,0.0,0.84023,0.57985,0.0,0.89013,0.0,0.0,0.92248,0.0,0.925
AS14.01,2014-04-10,0.25646,0.7,0.62073,0.73042,0.0,0.12426,0.61132,0.67357,0.36986,0.0,0.72342,0.0,0.0,0.86106,0.0,0.925
AS14.01,2014-04-11,0.63368,0.0,0.48768,0.74399,0.63376,0.0,0.0,0.56864,0.4305,0.0,0.59491,0.48217,0.0,0.77939,0.0,0.875
AS14.01,2014-04-12,0.04722,0.0,0.72596,0.76642,0.0,0.0,0.0,0.62931,0.4908,0.0,0.44065,0.24324,0.0,0.85103,0.0,0.90625
AS14.01,2014-04-13,0.14235,0.0,0.09874,0.28539,0.61553,0.0,0.0,0.65425,0.01069,0.0,0.05842,0.0,0.0,0.0,0.0,1.0
AS14.01,2014-04-14,0.32843,0.1,0.72014,1.0,0.6266,0.0,0.0,0.71574,0.79796,0.25,0.89645,0.46087,0.0,1.0,0.0,0.9
AS14.01,2014-04-15,0.45182,0.8,0.70572,0.58027,0.36763,0.0,0.0,0.67682,0.58117,0.25,0.97542,0.30278,0.0,0.81768,0.0,0.8
AS14.01,2014-04-16,0.31863,0.0,0.64116,0.40423,0.0,0.0,0.0,0.53599,0.52881,0.25,0.81599,0.0,0.0,0.78528,0.0,0.9
AS14.01,2014-04-17,0.1935,0.2,0.93101,0.16144,0.0,0.0,0.0,0.57483,0.65178,0.0,0.83436,0.0,0.0,0.56946,0.0,0.825
AS14.01,2014-04-18,0.48915,0.1,0.65224,0.53624,0.66632,0.0,0.0,0.55824,0.57652,0.0,0.82387,0.5648,0.0,0.65213,0.0,0.85
AS14.01,2014-04-19,0.32451,0.1,0.4173,0.42527,0.63599,0.58568,0.0,0.49982,0.56679,0.0,0.51746,0.65878,0.0,0.83052,0.0,0.975
AS14.01,2014-04-20,0.31154,0.2,0.62806,0.5224,0.34111,0.0,0.0,0.51137,0.32293,0.5,0.84578,0.0,0.0,0.69681,0.0,0.90625
AS14.01,2014-04-21,0.63892,0.2,0.30949,0.02043,0.49174,0.0,0.0,0.58565,0.10071,0.0,0.5323,0.57369,0.0,0.77683,0.0,0.95
AS14.01,2014-04-22,0.53134,0.2,0.91617,0.61426,0.51136,0.0,0.0,0.59757,0.67503,0.0,0.75976,0.0,0.0,0.87752,0.0,0.925
AS14.01,2014-04-23,0.36789,0.1,0.8319,0.35872,0.41006,0.0,0.0,0.54143,0.62798,0.0,0.57117,0.0,0.0,0.79963,0.0,0.95
AS14.01,2014-04-24,0.43112,0.1,0.86061,0.92482,0.74462,0.0,0.0,0.5018,1.0,0.0,0.88064,0.53534,0.0,0.95368,0.0,0.95
AS14.01,2014-04-25,0.28897,0.2,0.76047,0.49773,0.43054,0.0,0.0,0.60977,0.60032,0.25,0.84493,0.56363,0.0,0.8492,0.0,0.9
AS14.01,2014-04-26,0.30254,0.3,0.39611,0.13396,0.46497,0.0,0.0,0.5535,0.67462,1.0,0.85656,0.83337,0.26033,0.83516,0.0,0.95
AS14.01,2014-04-27,0.40019,0.0,0.37703,0.68434,0.0,0.0,0.0,1.0,0.19272,0.0,0.01648,0.0,0.0,0.59704,0.0,0.9375
AS14.01,2014-04-28,0.40406,0.2,0.60729,0.68989,0.85498,0.0,0.0,0.61725,0.44434,0.0,0.86096,0.0,0.0,0.86201,0.0,0.95
AS14.01,2014-04-29,0.74356,0.0,0.53633,0.6919,0.0,1.0,0.0,0.53491,0.29977,0.0,0.52441,0.50908,0.0,0.87309,0.0,0.875
AS14.01,2014-04-30,0.29698,0.1,0.50942,0.44146,0.82505,0.0,0.0,0.75102,0.36393,0.0,0.23551,0.75972,0.0,0.68604,0.0,0.975
AS14.01,2014-05-01,0.49113,0.7,0.80177,0.42602,1.0,0.0,0.64672,0.548,0.67634,1.0,0.99538,0.0,0.0,0.8123,0.0,1.0
AS14.01,2014-05-02,0.28228,0.0,0.79025,0.36217,0.97066,0.0,0.0,0.50401,0.65523,0.0,0.64356,0.0,0.0,0.36141,0.0,0.95
AS14.01,2014-05-03,0.26902,0.0,0.59536,0.81825,0.79238,0.0,0.0,0.53524,0.31517,0.25,0.39304,0.67333,0.62899,0.70215,0.0,1.0
AS14.01,2014-05-04,0.47536,0.0,0.49238,0.57646,0.0,0.0,0.0,0.51667,0.20202,0.0,0.55932,0.0,0.0,0.0,0.0,1.0
AS14.01,2014-05-05,0.13737,0.0,0.0,0.33949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80946,0.0,0.0
AS14.02,2014-03-14,0.51905,0.20833,0.82383,0.64942,0.0,0.0,0.0,0.82038,0.12283,0.0,0.42855,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-15,0.79797,0.25,0.91445,0.74922,0.0,0.0,0.0,0.0,0.40628,0.0,0.0,0.67792,0.0,0.0,0.0,0.0
AS14.02,2014-03-16,0.80051,0.125,0.95722,0.5739,0.0,0.0,0.0,0.91163,0.37516,0.14286,0.6585,0.0,0.0,0.0,0.0,0.77236
AS14.02,2014-03-17,0.72861,0.125,1.0,1.0,0.0,0.0,0.0,0.70504,0.77746,0.0,0.58736,0.0,0.0,0.0,0.0,0.82317
AS14.02,2014-03-18,0.80545,0.58333,0.98353,0.57469,0.0,0.0,0.0,0.68164,0.34531,0.14286,0.6782,0.0,0.0,0.0,0.0,1.0
